policy_id,customer_age,region_code,region_density
POL045360,41,C8,8794
POL016745,35,C2,27003
POL007194,44,C8,8794
POL018146,44,C10,73430
POL049011,56,C13,5410
POL053680,36,C7,6112
POL053943,38,C2,27003
POL002857,56,C2,27003
POL028225,55,C5,34738
POL047631,45,C3,4076
POL042460,37,C19,27742
POL007030,39,C8,8794
POL050280,41,C2,27003
POL002844,44,C2,27003
POL016746,36,C3,4076
POL032069,40,C8,8794
POL058212,40,C9,17804
POL031558,62,C10,73430
POL025424,42,C2,27003
POL002953,43,C15,290
POL037269,48,C13,5410
POL023833,45,C5,34738
POL025238,41,C2,27003
POL051424,36,C2,27003
POL038857,53,C6,13051
POL050788,46,C3,4076
POL005658,44,C3,4076
POL042408,51,C2,27003
POL028528,37,C3,4076
POL021346,41,C10,73430
POL058206,44,C8,8794
POL039202,45,C3,4076
POL013172,43,C2,27003
POL017306,41,C3,4076
POL048268,38,C2,27003
POL050891,36,C8,8794
POL025294,40,C13,5410
POL048265,37,C8,8794
POL051837,44,C2,27003
POL051314,35,C13,5410
POL051999,38,C13,5410
POL036646,61,C3,4076
POL019345,39,C5,34738
POL046629,44,C9,17804
POL028098,50,C2,27003
POL048488,35,C8,8794
POL042405,35,C19,27742
POL025380,49,C3,4076
POL034272,35,C9,17804
POL016022,36,C2,27003
POL049690,47,C8,8794
POL018564,53,C5,34738
POL028214,39,C15,290
POL017795,47,C3,4076
POL037445,52,C13,5410
POL030791,52,C8,8794
POL031652,42,C11,6108
POL048564,48,C8,8794
POL036744,44,C6,13051
POL051852,47,C19,27742
POL034655,41,C10,73430
POL013657,49,C13,5410
POL036292,43,C13,5410
POL046230,46,C1,4990
POL030074,40,C5,34738
POL029053,52,C5,34738
POL025853,44,C2,27003
POL011617,37,C7,6112
POL000310,57,C9,17804
POL000881,36,C14,7788
POL050628,37,C11,6108
POL041571,45,C2,27003
POL014139,36,C15,290
POL015985,52,C2,27003
POL036953,37,C3,4076
POL031268,52,C8,8794
POL044165,41,C2,27003
POL015210,43,C2,27003
POL017988,40,C3,4076
POL040132,40,C17,65567
POL029975,40,C8,8794
POL012008,57,C5,34738
POL024190,40,C8,8794
POL041165,49,C13,5410
POL043686,53,C3,4076
POL046050,53,C8,8794
POL016716,58,C3,4076
POL048143,53,C3,4076
POL040465,53,C5,34738
POL021590,40,C14,7788
POL016902,45,C3,4076
POL015979,40,C2,27003
POL002198,43,C5,34738
POL015442,40,C14,7788
POL044215,39,C15,290
POL025615,45,C2,27003
POL034389,41,C8,8794
POL002870,52,C8,8794
POL020050,57,C5,34738
POL001057,55,C8,8794
POL015570,35,C7,6112
POL028688,40,C5,34738
POL039509,43,C2,27003
POL036840,40,C12,34791
POL016671,44,C4,21622
POL009331,60,C14,7788
POL035335,54,C10,73430
POL014044,57,C3,4076
POL032843,35,C2,27003
POL018913,47,C5,34738
POL046578,45,C8,8794
POL039542,45,C6,13051
POL052627,41,C3,4076
POL009795,38,C3,4076
POL015671,36,C21,3264
POL047001,40,C5,34738
POL001445,51,C3,4076
POL051439,40,C8,8794
POL025076,39,C5,34738
POL051295,48,C8,8794
POL050148,56,C19,27742
POL037417,36,C1,4990
POL039175,44,C9,17804
POL048125,41,C2,27003
POL016257,57,C6,13051
POL034495,45,C8,8794
POL015249,55,C17,65567
POL018025,39,C2,27003
POL039424,45,C6,13051
POL052477,36,C13,5410
POL006381,44,C3,4076
POL003401,41,C16,16206
POL045005,44,C8,8794
POL022638,36,C8,8794
POL022508,51,C8,8794
POL012001,36,C10,73430
POL018403,42,C13,5410
POL035000,38,C3,4076
POL008080,35,C8,8794
POL018955,39,C10,73430
POL037855,53,C11,6108
POL008638,47,C9,17804
POL006185,36,C8,8794
POL052055,44,C2,27003
POL009783,43,C3,4076
POL001909,40,C3,4076
POL053776,40,C14,7788
POL016795,48,C8,8794
POL007939,38,C3,4076
POL051694,47,C13,5410
POL000852,43,C5,34738
POL037578,39,C3,4076
POL003559,57,C5,34738
POL003500,48,C5,34738
POL056126,42,C1,4990
POL008028,53,C5,34738
POL031647,43,C14,7788
POL016255,51,C5,34738
POL012478,41,C8,8794
POL038982,51,C11,6108
POL048092,45,C5,34738
POL018322,48,C13,5410
POL033786,45,C8,8794
POL010579,35,C12,34791
POL031250,40,C1,4990
POL007682,43,C5,34738
POL009444,44,C10,73430
POL003734,37,C2,27003
POL035196,35,C2,27003
POL041211,37,C5,34738
POL005979,54,C10,73430
POL003619,36,C10,73430
POL055157,54,C2,27003
POL018417,39,C3,4076
POL053751,50,C5,34738
POL017595,48,C9,17804
